"","cluster","spot"
"spot501",1,"spot501"
"spot502",1,"spot502"
"spot503",1,"spot503"
"spot504",1,"spot504"
"spot505",1,"spot505"
"spot506",1,"spot506"
"spot507",1,"spot507"
"spot508",1,"spot508"
"spot509",1,"spot509"
"spot510",1,"spot510"
"spot511",1,"spot511"
"spot512",1,"spot512"
"spot513",1,"spot513"
"spot514",1,"spot514"
"spot515",1,"spot515"
"spot516",1,"spot516"
"spot517",1,"spot517"
"spot518",1,"spot518"
"spot519",1,"spot519"
"spot520",1,"spot520"
"spot521",1,"spot521"
"spot522",1,"spot522"
"spot523",1,"spot523"
"spot524",1,"spot524"
"spot525",1,"spot525"
"spot526",1,"spot526"
"spot527",1,"spot527"
"spot528",1,"spot528"
"spot529",1,"spot529"
"spot530",1,"spot530"
"spot531",1,"spot531"
"spot532",1,"spot532"
"spot533",1,"spot533"
"spot534",1,"spot534"
"spot535",1,"spot535"
"spot536",1,"spot536"
"spot537",1,"spot537"
"spot538",1,"spot538"
"spot539",1,"spot539"
"spot540",1,"spot540"
"spot541",1,"spot541"
"spot542",1,"spot542"
"spot543",1,"spot543"
"spot544",1,"spot544"
"spot545",1,"spot545"
"spot546",1,"spot546"
"spot547",1,"spot547"
"spot548",1,"spot548"
"spot549",1,"spot549"
"spot550",1,"spot550"
"spot551",1,"spot551"
"spot552",1,"spot552"
"spot553",1,"spot553"
"spot554",1,"spot554"
"spot555",1,"spot555"
"spot556",1,"spot556"
"spot557",1,"spot557"
"spot558",1,"spot558"
"spot559",1,"spot559"
"spot560",1,"spot560"
"spot561",1,"spot561"
"spot562",1,"spot562"
"spot563",1,"spot563"
"spot564",1,"spot564"
"spot565",1,"spot565"
"spot566",1,"spot566"
"spot567",1,"spot567"
"spot568",1,"spot568"
"spot569",1,"spot569"
"spot570",1,"spot570"
"spot571",1,"spot571"
"spot572",1,"spot572"
"spot573",1,"spot573"
"spot574",1,"spot574"
"spot575",1,"spot575"
"spot576",1,"spot576"
"spot577",1,"spot577"
"spot578",1,"spot578"
"spot579",1,"spot579"
"spot580",1,"spot580"
"spot581",1,"spot581"
"spot582",1,"spot582"
"spot583",1,"spot583"
"spot584",1,"spot584"
"spot585",1,"spot585"
"spot586",1,"spot586"
"spot587",1,"spot587"
"spot588",1,"spot588"
"spot589",1,"spot589"
"spot590",1,"spot590"
"spot591",1,"spot591"
"spot592",1,"spot592"
"spot593",1,"spot593"
"spot594",1,"spot594"
"spot595",1,"spot595"
"spot596",1,"spot596"
"spot597",1,"spot597"
"spot598",1,"spot598"
"spot599",1,"spot599"
"spot600",1,"spot600"
"spot601",2,"spot601"
"spot602",2,"spot602"
"spot603",2,"spot603"
"spot604",2,"spot604"
"spot605",2,"spot605"
"spot606",2,"spot606"
"spot607",2,"spot607"
"spot608",2,"spot608"
"spot609",2,"spot609"
"spot610",2,"spot610"
"spot611",2,"spot611"
"spot612",2,"spot612"
"spot613",2,"spot613"
"spot614",2,"spot614"
"spot615",2,"spot615"
"spot616",2,"spot616"
"spot617",2,"spot617"
"spot618",2,"spot618"
"spot619",2,"spot619"
"spot620",2,"spot620"
"spot621",2,"spot621"
"spot622",2,"spot622"
"spot623",2,"spot623"
"spot624",2,"spot624"
"spot625",2,"spot625"
"spot626",2,"spot626"
"spot627",2,"spot627"
"spot628",2,"spot628"
"spot629",2,"spot629"
"spot630",2,"spot630"
"spot631",2,"spot631"
"spot632",2,"spot632"
"spot633",2,"spot633"
"spot634",2,"spot634"
"spot635",2,"spot635"
"spot636",2,"spot636"
"spot637",2,"spot637"
"spot638",2,"spot638"
"spot639",2,"spot639"
"spot640",2,"spot640"
"spot641",2,"spot641"
"spot642",2,"spot642"
"spot643",2,"spot643"
"spot644",2,"spot644"
"spot645",2,"spot645"
"spot646",2,"spot646"
"spot647",2,"spot647"
"spot648",2,"spot648"
"spot649",2,"spot649"
"spot650",2,"spot650"
"spot651",2,"spot651"
"spot652",2,"spot652"
"spot653",2,"spot653"
"spot654",2,"spot654"
"spot655",2,"spot655"
"spot656",2,"spot656"
"spot657",2,"spot657"
"spot658",2,"spot658"
"spot659",2,"spot659"
"spot660",2,"spot660"
"spot661",2,"spot661"
"spot662",2,"spot662"
"spot663",2,"spot663"
"spot664",2,"spot664"
"spot665",2,"spot665"
"spot666",2,"spot666"
"spot667",2,"spot667"
"spot668",2,"spot668"
"spot669",2,"spot669"
"spot670",2,"spot670"
"spot671",2,"spot671"
"spot672",2,"spot672"
"spot673",2,"spot673"
"spot674",2,"spot674"
"spot675",2,"spot675"
"spot676",2,"spot676"
"spot677",2,"spot677"
"spot678",2,"spot678"
"spot679",2,"spot679"
"spot680",2,"spot680"
"spot681",2,"spot681"
"spot682",2,"spot682"
"spot683",2,"spot683"
"spot684",2,"spot684"
"spot685",2,"spot685"
"spot686",2,"spot686"
"spot687",2,"spot687"
"spot688",2,"spot688"
"spot689",2,"spot689"
"spot690",2,"spot690"
"spot691",2,"spot691"
"spot692",2,"spot692"
"spot693",2,"spot693"
"spot694",2,"spot694"
"spot695",2,"spot695"
"spot696",2,"spot696"
"spot697",2,"spot697"
"spot698",2,"spot698"
"spot699",2,"spot699"
"spot700",2,"spot700"
"spot701",3,"spot701"
"spot702",3,"spot702"
"spot703",3,"spot703"
"spot704",3,"spot704"
"spot705",3,"spot705"
"spot706",3,"spot706"
"spot707",3,"spot707"
"spot708",3,"spot708"
"spot709",3,"spot709"
"spot710",3,"spot710"
"spot711",3,"spot711"
"spot712",3,"spot712"
"spot713",3,"spot713"
"spot714",3,"spot714"
"spot715",3,"spot715"
"spot716",3,"spot716"
"spot717",3,"spot717"
"spot718",3,"spot718"
"spot719",3,"spot719"
"spot720",3,"spot720"
"spot721",3,"spot721"
"spot722",3,"spot722"
"spot723",3,"spot723"
"spot724",3,"spot724"
"spot725",3,"spot725"
"spot726",3,"spot726"
"spot727",3,"spot727"
"spot728",3,"spot728"
"spot729",3,"spot729"
"spot730",3,"spot730"
"spot731",3,"spot731"
"spot732",3,"spot732"
"spot733",3,"spot733"
"spot734",3,"spot734"
"spot735",3,"spot735"
"spot736",3,"spot736"
"spot737",3,"spot737"
"spot738",3,"spot738"
"spot739",3,"spot739"
"spot740",3,"spot740"
"spot741",3,"spot741"
"spot742",3,"spot742"
"spot743",3,"spot743"
"spot744",3,"spot744"
"spot745",3,"spot745"
"spot746",3,"spot746"
"spot747",3,"spot747"
"spot748",3,"spot748"
"spot749",3,"spot749"
"spot750",3,"spot750"
"spot751",3,"spot751"
"spot752",3,"spot752"
"spot753",3,"spot753"
"spot754",3,"spot754"
"spot755",3,"spot755"
"spot756",3,"spot756"
"spot757",3,"spot757"
"spot758",3,"spot758"
"spot759",3,"spot759"
"spot760",3,"spot760"
"spot761",3,"spot761"
"spot762",3,"spot762"
"spot763",3,"spot763"
"spot764",3,"spot764"
"spot765",3,"spot765"
"spot766",3,"spot766"
"spot767",3,"spot767"
