"","x","y"
"spot501",66.9703168794513,145.261424174532
"spot502",57.8305403119884,109.316970361397
"spot503",52.8786666458473,105.710548534989
"spot504",55.0835301168263,50.6186258746311
"spot505",58.7541065411642,85.5203551938757
"spot506",68.5110965860076,77.0239793229848
"spot507",58.0001152819023,68.3460601372644
"spot508",94.194355874788,108.64900262095
"spot509",74.3122059619054,54.5836700126529
"spot510",51.935602130834,92.7078550215811
"spot511",99.3973661912605,82.2625456377864
"spot512",63.7312478153035,69.7438577422872
"spot513",59.2959591303952,51.8606107449159
"spot514",70.9592255530879,120.1704059029
"spot515",85.1847643265501,52.2788040107116
"spot516",84.7144748200662,114.322064328007
"spot517",76.0306781507097,53.4903891850263
"spot518",69.2372450837865,80.4007636150345
"spot519",51.845179090742,121.733037265949
"spot520",69.4756717886776,115.916948812082
"spot521",65.6445320928469,65.2493094326928
"spot522",80.5673625902273,114.364470215514
"spot523",89.5985246286727,106.536451890133
"spot524",94.946747017093,62.270011077635
"spot525",84.4760371488519,105.727628036402
"spot526",96.2394463131204,149.842505948618
"spot527",73.8006012514234,84.879039414227
"spot528",63.8661438482814,124.340670439415
"spot529",58.1903167418204,93.5201473766938
"spot530",99.4979632552713,89.0893086092547
"spot531",55.8215123717673,60.9558800701052
"spot532",64.0742395073175,90.7554280012846
"spot533",93.6550243990496,85.8914126409218
"spot534",79.8993536620401,148.374553676695
"spot535",50.3567694686353,146.603809180669
"spot536",64.2976528499275,108.171701128595
"spot537",93.5057435184717,119.958660169505
"spot538",83.4357615094632,92.2418640460819
"spot539",92.620133748278,143.933170149103
"spot540",52.0882187178358,63.7139911064878
"spot541",74.7725500143133,142.625956074335
"spot542",76.9700891338289,102.101360703819
"spot543",63.6957540875301,64.3268146086484
"spot544",92.1354130841792,85.6042704544961
"spot545",53.0044492334127,95.4237927217036
"spot546",78.4279688261449,136.227636854164
"spot547",55.6289496598765,148.216887516901
"spot548",98.9009668352082,91.9430863577873
"spot549",93.5195647994988,69.7426151717082
"spot550",60.3378109866753,52.7446747291833
