"","x","y"
"spot1501",43.7289446941577,65.5253855278715
"spot1502",38.027457089629,22.6062303874642
"spot1503",28.4133415319957,64.5778303733096
"spot1505",13.0409291828983,96.8660422135144
"spot1506",43.8393598073162,55.4342271061614
"spot1507",7.60108660906553,72.3085709381849
"spot1508",5.64589131390676,62.1891171438619
"spot1509",24.4664339115843,33.7309892522171
"spot1510",42.7776762167923,47.6163365412503
"spot1511",49.8407876002602,93.8985676271841
"spot1512",1.2747302884236,69.5309654111043
"spot1513",15.7542254077271,28.0818643514067
"spot1514",37.1489729150198,37.9950571106747
"spot1515",36.3320869975723,79.4084029505029
"spot1516",7.20460085431114,84.4283123034984
"spot1517",49.5549104991369,38.2794103818014
"spot1518",39.66885242844,29.1609265143052
"spot1523",18.4518367168494,75.7907237159088
"spot1524",11.4752014051192,31.1918110121042
"spot1525",10.688795382157,79.3476531980559
"spot1526",9.57413432188332,62.1178443543613
"spot1528",39.0757529297844,99.4642389472574
"spot1529",44.4510644068941,83.7456793989986
"spot1531",47.418997483328,41.2051659310237
"spot1532",28.1970623764209,95.5855297390372
"spot1533",18.9447799930349,88.5998225305229
"spot1534",26.4260875992477,56.2870682682842
"spot1535",49.3625844479539,64.82255065348
"spot1536",14.1710123629309,77.5253345025703
"spot1537",41.9124962063506,31.3047693576664
"spot1538",21.8457696028054,57.0190973812714
"spot1539",12.3911750386469,21.046642283909
"spot1540",46.3334775995463,38.5045373579487
"spot1541",44.0012264996767,45.7445064326748
"spot1542",32.1349830483086,65.0440622819588
"spot1544",30.9477672795765,94.3048826651648
"spot1545",1.59788565943018,47.2508637467399
"spot1546",21.5638308902271,28.1386272516102
"spot1547",7.32032640371472,67.2565615503117
"spot1548",15.0575658190064,32.0458595640957
"spot1550",17.5605837022886,28.1159930629656
"spot1551",38.0028176354244,85.7754234690219
"spot1552",30.0533642992377,32.9319116193801
"spot1553",4.19770190492272,77.667276468128
"spot1554",38.3024718845263,54.3917862931266
"spot1555",29.7008024179377,54.5272120740265
"spot1556",19.4697264698334,39.5558236166835
"spot1557",46.4123594225384,64.3349162070081
"spot1558",45.2735177357681,52.9076904058456
"spot1559",3.32098699873313,87.7816621912643
"spot1560",35.5955328443088,43.3765061665326
"spot1561",30.4424134897999,97.7726542856544
"spot1562",36.6977732512169,47.0566884148866
"spot1564",23.8530315691605,87.0013077743351
"spot1565",15.4488090076484,56.2627310864627
"spot1567",29.0362632251345,85.6599011691287
"spot1568",13.5791068198159,97.062084171921
"spot1569",7.46997563401237,28.4440492512658
"spot1570",21.7639298876747,31.9793159840629
"spot1571",32.8689844696783,27.8557125478983
"spot1572",16.2651739665307,66.7190750362352
"spot1573",44.8903762735426,79.9730489961803
"spot1574",47.0449531916529,65.2573939412832
"spot1575",31.9399784784764,56.7419995553792
"spot1576",19.7254964499734,49.0579185076058
"spot1578",31.2824909342453,91.6430804645643
"spot1579",17.5955520593561,79.0400308091193
"spot1582",15.2256287052296,81.3039416214451
"spot1583",14.772987505421,29.2045471258461
"spot1585",42.5123018096201,26.128513365984
"spot1586",36.753246281296,90.4354559490457
"spot1587",38.8953378540464,90.3719348600134
"spot1589",13.2898715208285,96.5320072136819
"spot1590",27.2327016456984,92.5570197403431
"spot1593",24.4693485205062,73.3857276383787
"spot1594",44.2644875263795,84.3195691937581
"spot1595",43.7384013785049,59.3264590250328
"spot1596",8.08924529701471,93.436252255924
"spot1597",21.8553011422046,87.486897665076
"spot1598",5.4926177370362,62.9866494098678
"spot1601",68.4731250395998,96.1242144461721
"spot1603",65.1409102603793,37.6182601088658
"spot1605",96.0662695579231,38.6222993256524
"spot1607",80.892931658309,71.3005200494081
